SessionID,Name,Description,Line,Column,ParentFile,TopLevelCategory,Code
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,66208,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,66272,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,66355,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,74479,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,74553,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,74588,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,74641,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,6,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,66,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,82,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,98,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,134,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,320,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,336,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,352,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,389,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,405,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,482,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,1456,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,3267,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,5164,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,8440,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,8504,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,10146,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,11188,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
